schema,mongo_query,natural_language_query
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""incident_type"": ""unauthorized access"", ""timestamp"": {""$gte"": 1700005000}})'''",Find incidents of unauthorized access that occurred after 1700005000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""person_details.age"": {""$gte"": 18, ""$lte"": 30},
    ""severity_level"": {""$gt"": 1}
})'''","Retrieve events involving persons aged 18 to 30, and with a severity level greater than 1."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": int(time.time()) - 604800}}, {""vehicle_details"": 1})'''",List all vehicle details for events that occurred within the last week.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""}})'''",Find vehicles with license plates starting with 'MH12'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.temperature"": {""$gt"": 30}})'''",Retrieve all incidents with temperature readings exceeding 30 degrees Celsius.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": int(time.time()) - 86400}})'''",List all events recorded in the last 24 hours.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": {""$gte"": 10, ""$lte"": 20}})'''",Retrieve all events captured by cameras with IDs between 10 and 20.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""severity_level"": 3, ""timestamp"": {""$gte"": 1700000000}})'''",Find all events with severity level 3 occurring after the timestamp 1700000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""person_details.match_id"": {""$gt"": 1000}, ""person_details.gender"": ""Female""})'''",List all person details where match_id is greater than 1000 and gender is 'Female'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""incident_type"": ""accident"", ""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}})'''",Show all incidents categorized as 'accident' that occurred between 1700000000 and 1701000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""severity_level"": 3,
    ""person_details.age"": {""$gt"": 30}
})'''",Find high-severity events that involved a person aged over 30.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.speed"": {""$gt"": 100}, ""severity_level"": 2})'''",Find incidents with vehicle speed greater than 100 km/h and a severity level of 2.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.vehicle_type"": ""truck"", ""camera_id"": 5})'''","Find all events that involve trucks, captured by camera ID 5."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Epoch timestamp of when the event occurred""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event: 1 = Low, 2 = Medium, 3 = High""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier for the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (e.g., Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing the person is wearing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude coordinate of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude coordinate of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle before the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""}})'''",Find all vehicle details where the license plate starts with 'MH12'.
