schema,sql_query,natural_language_query
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT COUNT(*) FROM salary_1003;,Count the total number of salary records in the salary_1003 table.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT DISTINCT EmployeeID FROM salary_1003;,Retrieve a list of unique EmployeeIDs from the salary records.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT PaymentDate FROM salary_1003 WHERE BaseSalary > 50000;,"Find the payment dates for employees with a base salary greater than 50,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, BaseSalary FROM salary_1003 ORDER BY BaseSalary DESC;","Retrieve the Employee IDs and their corresponding base salaries from the salary records, ordered from highest to lowest base salary."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT EmployeeID FROM salary_1003 WHERE Bonus > 0;,Find the IDs of employees who have received a bonus greater than zero.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT AVG(BaseSalary) FROM salary_1003;,Calculate the average base salary of employees recorded in the salary table.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(BaseSalary) AS TotalBaseSalary FROM salary_1003 GROUP BY EmployeeID;",Calculate the total base salary for each employee by summing the base salaries in the salary database.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, BaseSalary FROM salary_1003 WHERE PaymentDate >= '2023-01-01' AND PaymentDate < '2024-01-01';",Retrieve the Employee IDs and Base Salaries of employees who received payments in the year 2023.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT * FROM salary_1003 WHERE Commission > 0;,Retrieve all records from the salary table for employees who have received a commission greater than zero.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, MAX(BaseSalary) AS MaxSalary FROM salary_1003 GROUP BY EmployeeID;",Retrieve the maximum base salary for each employee.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, BaseSalary + Bonus AS TotalEarnings FROM salary_1003 WHERE BaseSalary + Bonus > 60000;","Retrieve the Employee IDs and total earnings, including both the base salary and bonus, for employees whose total earnings exceed 60,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT PaymentDate, COUNT(*) FROM salary_1003 GROUP BY PaymentDate;",Count the number of salary payments made on each payment date.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT EmployeeID FROM salary_1003 WHERE BaseSalary < 30000;,"Find the employee IDs of employees whose base salary is less than 30,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, COUNT(Bonus) AS BonusCount FROM salary_1003 WHERE Bonus > 0 GROUP BY EmployeeID;",Count the number of bonus payments for each employee who has received a bonus.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, BaseSalary, PaymentDate FROM salary_1003 ORDER BY PaymentDate DESC;","Retrieve the employee IDs, their base salaries, and the payment dates, arranged from the most recent payment date."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT SUM(BaseSalary) FROM salary_1003 WHERE PaymentDate < '2023-07-01';,"Calculate the total of all base salaries for employees paid before July 1, 2023."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, Commission FROM salary_1003 WHERE BaseSalary IS NOT NULL;",Retrieve the employee IDs and their commission amounts for employees who have a base salary.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(BaseSalary) AS TotalBaseSalary FROM salary_1003 GROUP BY EmployeeID",Calculate the total base salary for each employee by summing their base salaries from the salary records.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, COUNT(*) AS TotalPayments FROM salary_1003 GROUP BY EmployeeID HAVING COUNT(*) > 5",Count how many payments each employee has received and list the employees who have received more than five payments.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, AVG(BaseSalary) AS AverageSalary FROM salary_1003 GROUP BY EmployeeID ORDER BY AverageSalary DESC",Calculate the average base salary for each employee and list the averages in descending order.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(Bonus) AS TotalBonus, SUM(Commission) AS TotalCommission FROM salary_1003 GROUP BY EmployeeID HAVING SUM(Bonus) > 1000","Find the employee IDs along with their total bonuses and total commissions, including only those employees whose total bonuses exceed 1,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT SUM(BaseSalary + Bonus + Commission) AS TotalCompensation FROM salary_1003 WHERE PaymentDate BETWEEN '2023-01-01' AND '2023-12-31',"Calculate the total compensation for all employees who received payments, including base salary, bonus, and commission, between January 1, 2023, and December 31, 2023."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, e.EmployeeName FROM salary_1003 s JOIN employee_1001 e ON s.EmployeeID = e.EmployeeID WHERE s.BaseSalary > 70000","Find the Employee IDs and names of employees with a base salary greater than 70,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT e.EmployeeID, COALESCE(SUM(s.BaseSalary), 0) AS TotalSalary FROM employee_1001 e LEFT JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.EmployeeID ORDER BY TotalSalary DESC","Retrieve the employee IDs and the total base salary for each employee, including those who may not have any recorded salary, and display the results sorted from the highest total salary to the lowest."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, COUNT(*) AS PaymentCount FROM salary_1003 GROUP BY EmployeeID HAVING COUNT(*) > 3","Identify employees who have received more than three payments, and count the number of payments each of these employees has received."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT DISTINCT EmployeeID FROM salary_1003 WHERE PaymentDate > CURRENT_DATE - INTERVAL '1 YEAR',Identify the distinct employees who have received any payment in the last year according to the salary records.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT e.EmployeeID FROM employee_1001 e LEFT JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.EmployeeID HAVING SUM(s.BaseSalary) BETWEEN 50000 AND 100000,"Find the IDs of employees whose total base salary is between 50,000 and 100,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, COUNT(*) AS HighBonusCount FROM salary_1003 WHERE Bonus > 1000 GROUP BY EmployeeID","Count how many times each employee has received a bonus greater than 1,000, and group the results by EmployeeID."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(BaseSalary + Bonus) AS TotalEarnings FROM salary_1003 WHERE Commission < 500 GROUP BY EmployeeID","Calculate the total earnings, which includes both the base salary and bonus, for each employee with a commission of less than 500."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, MIN(BaseSalary) AS MinSalary, MAX(BaseSalary) AS MaxSalary FROM salary_1003 GROUP BY EmployeeID",Find the minimum and maximum base salary for each employee in the salary_1003 table.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, AVG(BaseSalary) AS AverageBaseSalary FROM salary_1003 GROUP BY EmployeeID HAVING AverageBaseSalary >= 60000","Calculate the average base salary for each employee and list those employees whose average base salary is at least $60,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, e.Department FROM salary_1003 s JOIN employee_1001 e ON s.EmployeeID = e.EmployeeID GROUP BY s.EmployeeID, e.Department","Retrieve the employee IDs along with their corresponding department names from the salary records and employee details, grouping the results by employee ID and department."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, SUM(s.Bonus) AS TotalBonus FROM salary_1003 s GROUP BY s.EmployeeID ORDER BY TotalBonus DESC",Calculate the total bonuses received by each employee and list them in descending order of total bonus.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT e.EmployeeID, e.EmployeeName FROM employee_1001 e LEFT JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.EmployeeID, e.EmployeeName HAVING COUNT(s.SalaryID) > 2",Identify the employee IDs and names of employees who have received more than two salary payments.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT SUM(Bonus) AS TotalBonuses, COUNT(DISTINCT EmployeeID) FROM salary_1003 WHERE PaymentDate > '2023-01-01' GROUP BY EmployeeID","Calculate the total bonuses and count the distinct number of employees who received bonuses for payments made after January 1, 2023, grouping the results by each employee."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT COUNT(DISTINCT EmployeeID) FROM salary_1003 WHERE PaymentDate BETWEEN '2023-01-01' AND '2023-12-31',"Count the number of distinct employees who received a payment between January 1, 2023, and December 31, 2023."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT e.EmployeeID FROM employee_1001 e WHERE e.EmployeeID NOT IN (SELECT s.EmployeeID FROM salary_1003 s),Identify the Employee IDs of employees who do not have any recorded salary information in the salary_1003 table.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(BaseSalary + Bonus + Commission) AS TotalCompensation FROM salary_1003 GROUP BY EmployeeID HAVING TotalCompensation > 100000","Identify the Employee IDs and their total compensation for those employees whose total compensation, including base salary, bonus, and commission, exceeds 100,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, AVG(s.BaseSalary) AS AvgBaseSalary FROM salary_1003 s GROUP BY s.EmployeeID ORDER BY AvgBaseSalary DESC",Calculate the average base salary for each employee and list the results in descending order of average salary.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.PaymentDate, COUNT(*) AS NumberOfPayments FROM salary_1003 s GROUP BY s.PaymentDate HAVING COUNT(*) > 5",Identify the payment dates with more than five payments and count the payments for those dates.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, MAX(BaseSalary) AS MaxBaseSalary, MIN(BaseSalary) AS MinBaseSalary FROM salary_1003 GROUP BY EmployeeID",Retrieve the maximum and minimum base salary for each employee.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, SUM(BaseSalary) AS TotalBaseSalary FROM salary_1003 WHERE PaymentDate >= '2023-01-01' GROUP BY EmployeeID","Identify each employee's ID and calculate the total base salary they have received since January 1, 2023."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, COUNT(DISTINCT s.PaymentDate) AS PaymentCount FROM salary_1003 s WHERE s.Bonus > 0 GROUP BY s.EmployeeID","Count how many unique payment dates each employee has received bonuses, and list the employee IDs along with the count of these unique payment dates."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT e.EmployeeID, e.Name, SUM(s.BaseSalary) AS TotalBaseSalary FROM employee_1001 e JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.EmployeeID, e.Name ORDER BY TotalBaseSalary DESC","Retrieve the employee IDs and names from the employee database, along with the total base salary for each employee, and organize the results in descending order based on the total base salary."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT AVG(Commission) AS AverageCommission FROM salary_1003 WHERE PaymentDate BETWEEN '2023-01-01' AND '2023-12-31',Calculate the average commission for all employees from the salary records where the payment date is in the year 2023.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID FROM salary_1003 s GROUP BY s.EmployeeID HAVING SUM(COALESCE(s.Bonus, 0) + COALESCE(s.Commission, 0)) > 20000","Find the IDs of employees whose total incentives, including bonuses and commissions, exceed 20,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, COUNT(s.SalaryID) AS PaymentOccurrences FROM salary_1003 s GROUP BY s.EmployeeID HAVING COUNT(s.SalaryID) < 3",Identify the employees who have received fewer than three salary payments and count the number of salary payments each employee has received.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT e.DepartmentID, COUNT(s.SalaryID) AS NumberOfSalaries FROM employee_1001 e JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.DepartmentID ORDER BY COUNT(s.SalaryID) DESC",Count the number of salary records for each department and list the departments by the count of salary records in descending order.
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT e.Name FROM employee_1001 e JOIN salary_1003 s ON e.EmployeeID = s.EmployeeID GROUP BY e.Name HAVING SUM(s.BaseSalary + s.Bonus) > 90000,"Retrieve the names of employees whose total earnings, including base salary and bonus, exceed 90,000."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, strftime('%Y', s.PaymentDate) AS PaymentYear, SUM(s.BaseSalary) AS YearlySalary FROM salary_1003 s GROUP BY s.EmployeeID, strftime('%Y', s.PaymentDate)","Retrieve the total annual base salary for each employee, grouped by employee ID and the year of the payment date."
"CREATE TABLE salary_1003 (
  ""SalaryID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""BaseSalary"" REAL,
  ""Bonus"" REAL,
  ""Commission"" REAL,
  ""PaymentDate"" TIMESTAMP,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT s.EmployeeID, s.PaymentDate, SUM(s.BaseSalary + COALESCE(s.Bonus, 0) + COALESCE(s.Commission, 0)) AS TotalPayment FROM salary_1003 s GROUP BY s.EmployeeID, s.PaymentDate","Retrieve the total payments made to each employee on specific payment dates by summing their base salary, bonus, and commission, and group the results by employee and payment date."
