schema,sql_query,natural_language_query
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT ProjectName FROM project_assignments_1005 WHERE EmployeeID IN (SELECT EmployeeID FROM project_assignments_1005 GROUP BY EmployeeID HAVING COUNT(*) > 1);,Identify the names of projects that have been assigned to employees who are involved in more than one project.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, ProjectName FROM project_assignments_1005 WHERE Role LIKE 'M%';",Find the employee IDs and project names for all assignments where the role starts with the letter 'M'.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, MIN(StartDate) AS FirstAssignment FROM project_assignments_1005 GROUP BY EmployeeID;",Find the earliest assignment date for each employee.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT DISTINCT ProjectName FROM project_assignments_1005 WHERE EmployeeID = (SELECT EmployeeID FROM project_assignments_1005 WHERE ProjectName = 'Project B');,Find all the distinct project names that are assigned to the same employee who is working on 'Project B'.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, COUNT(*) FROM project_assignments_1005 GROUP BY EmployeeID HAVING COUNT(*) > 3;",Identify the Employee IDs of employees who are assigned to more than three projects.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT * FROM project_assignments_1005 WHERE EndDate IS NULL;,Retrieve all project assignments where the end date has not been set yet.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT ProjectName, MAX(EndDate) FROM project_assignments_1005 GROUP BY ProjectName HAVING MAX(EndDate) < '2023-12-31';","List the names of projects and their latest end dates, but only include those projects that have all their end dates before December 31, 2023."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT EmployeeID, ProjectName FROM project_assignments_1005 WHERE AssignmentID BETWEEN 1 AND 10;",Retrieve the employee IDs and project names for assignments with IDs ranging from 1 to 10.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
",SELECT * FROM project_assignments_1005 WHERE StartDate BETWEEN '2023-01-01' AND '2023-12-31';,Retrieve all project assignments that started within the year 2023.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT ProjectName, COUNT(*) AS NumberOfAssignments FROM project_assignments_1005 GROUP BY ProjectName; ","""List the names of projects along with the total number of assignments for each project."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, ProjectName, StartDate FROM project_assignments_1005 WHERE EndDate IS NULL; ","Retrieve the Employee IDs, Project names, and Start dates of all ongoing projects that have not yet ended."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT Role, COUNT(*) FROM project_assignments_1005 GROUP BY Role HAVING COUNT(*) > 5; ","Identify the roles in the project assignments and count how many employees are assigned to each role, but only include those roles that have more than five employees assigned to them."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, MIN(StartDate) AS EarliestStart FROM project_assignments_1005 GROUP BY ProjectName; ",Find the earliest start date for each project by listing the project names along with their minimum starting dates.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(*) AS TotalProjects FROM project_assignments_1005 GROUP BY EmployeeID ORDER BY TotalProjects DESC; ","""Count the total number of projects assigned to each employee and list them in order from the highest to the lowest total."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, AVG(julianday(EndDate) - julianday(StartDate)) AS AverageDuration FROM project_assignments_1005 GROUP BY ProjectName; ",Calculate the average duration of projects by finding the average length of time for each project from its start date to its end date.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, Role FROM project_assignments_1005 WHERE StartDate > '2023-01-01' ORDER BY StartDate; ","Retrieve the Employee ID and their roles for all project assignments that started after January 1, 2023, and list them in order of their start dates."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(DISTINCT ProjectName) AS UniqueProjects FROM project_assignments_1005 GROUP BY EmployeeID HAVING UniqueProjects > 3; ",Identify the employees who have worked on more than three distinct projects and list their employee IDs along with the count of unique projects they have contributed to.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, COUNT(*) AS AssignmentsCount FROM project_assignments_1005 WHERE StartDate < '2023-06-01' GROUP BY ProjectName; ","List the names of projects and the number of assignments for each project that started before June 1, 2023."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT Role, COUNT(*) FROM project_assignments_1005 WHERE StartDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY Role; ",Count the number of project assignments for each role where the assignments started in the year 2023.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT DISTINCT Role FROM project_assignments_1005 WHERE EndDate IS NOT NULL; ,"""List all the unique roles of employees who have completed their project assignments."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, SUM(julianday(EndDate) - julianday(StartDate)) AS TotalDays FROM project_assignments_1005 GROUP BY EmployeeID; ","""Calculate the total number of days that each employee has worked on projects by finding the difference between the start and end dates of their assignments."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, MAX(EndDate) AS LatestEnd FROM project_assignments_1005 GROUP BY ProjectName; ","""Retrieve the names of each project along with the most recent end date of those projects."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT COUNT(DISTINCT EmployeeID) AS EmployeeCount FROM project_assignments_1005 WHERE Role = 'Manager'; ,Count the number of distinct employees who have the role of 'Manager' in the project assignments.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, Role FROM project_assignments_1005 WHERE EndDate > '2023-01-01' ORDER BY ProjectName; ","List the project names and roles of assignments that are still active, meaning their end date is after January 1, 2023, and arrange the results in alphabetical order by project name."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(*) AS AssignmentsCount FROM project_assignments_1005 WHERE Role = 'Developer' GROUP BY EmployeeID; ","""Count the number of project assignments for each employee who has the role of 'Developer'."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, COUNT(*) AS AssignmentNumber FROM project_assignments_1005 GROUP BY ProjectName HAVING AssignmentNumber > 2; ","Identify the names of projects that have more than two assignments associated with them. Also, count how many assignments there are for each project."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, StartDate FROM project_assignments_1005 WHERE Role IN ('Developer', 'Tester') ORDER BY StartDate; ","Retrieve the names of projects and their start dates for employees who have the roles of either Developer or Tester, and organize the results by the start date of the projects."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, Role FROM project_assignments_1005 WHERE ProjectName = 'Project X' AND StartDate < '2023-01-01'; ","Find the employee IDs and their roles for those assigned to 'Project X' before January 1, 2023."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT COUNT(*) FROM project_assignments_1005 WHERE ProjectName LIKE '%Alpha%';,Count the total number of project assignments that have 'Alpha' in their project name.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT ProjectName, COUNT(*) AS NumberOfAssignments FROM project_assignments_1005 GROUP BY ProjectName HAVING COUNT(*) > 1 ","Identify the names of projects that have more than one assignment, along with the count of assignments for each of those projects."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, MAX(EndDate) AS LatestEndDate FROM project_assignments_1005 GROUP BY EmployeeID ",Find the latest end date of project assignments for each employee.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, ProjectName, StartDate FROM project_assignments_1005 WHERE EndDate IS NULL ","List the Employee IDs, project names, and start dates of all ongoing assignments where the end date has not been specified."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT Role, COUNT(*) AS NumberOfAssignments FROM project_assignments_1005 GROUP BY Role ORDER BY NumberOfAssignments DESC ","""Group the project roles and count how many assignments are there for each role, then list them in order from the role with the most assignments to the least."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(DISTINCT ProjectName) AS TotalProjects FROM project_assignments_1005 GROUP BY EmployeeID HAVING COUNT(DISTINCT ProjectName) > 3 ","Identify the employees who have worked on more than three different projects, and count how many distinct projects each of these employees has been assigned to."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, AVG(julianday(EndDate) - julianday(StartDate)) AS AverageDuration FROM project_assignments_1005 GROUP BY ProjectName ","""Calculate the average duration of each project by finding the difference between the start and end dates and then grouping the results by project name."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT * FROM project_assignments_1005 WHERE StartDate BETWEEN '2023-01-01' AND '2023-12-31' ORDER BY StartDate ,"Retrieve all project assignments that started in the year 2023, and list them in chronological order by their start date."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(*) AS TotalAssignments FROM project_assignments_1005 WHERE Role = 'Manager' GROUP BY EmployeeID HAVING TotalAssignments > 2 ","""Identify the employees who have the role of 'Manager' and count how many assignments each of them has. Only include those employees who have more than two assignments."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, ProjectName FROM project_assignments_1005 WHERE ProjectName LIKE 'Alpha%' ","""Retrieve the IDs and names of projects assigned to employees that begin with the name 'Alpha'."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, Role FROM project_assignments_1005 WHERE Role IN ('Developer', 'Designer') ORDER BY EmployeeID ","""Retrieve the Employee IDs and their roles for employees who are either developers or designers, and organize the results by Employee ID."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, SUM(julianday(EndDate) - julianday(StartDate)) AS TotalDays FROM project_assignments_1005 GROUP BY ProjectName HAVING TotalDays > 30 ",Find the names of projects that have a total duration of more than 30 days by calculating the time between their start and end dates.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT COUNT(DISTINCT EmployeeID) AS NumberOfEmployeesInProjects FROM project_assignments_1005 ,Count the number of distinct employees who are assigned to projects.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, COUNT(*) AS AssignmentsCount FROM project_assignments_1005 WHERE StartDate < '2023-01-01' GROUP BY EmployeeID HAVING AssignmentsCount > 5 ","Find the Employee IDs of employees who have been assigned to more than five projects that started before January 1, 2023, along with the count of those assignments."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, MIN(StartDate) AS FirstStart, MAX(EndDate) AS LastEnd FROM project_assignments_1005 GROUP BY ProjectName ","""Get the project names along with the earliest start date and the latest end date for each project."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, Role, COUNT(*) AS AssignmentCount FROM project_assignments_1005 GROUP BY EmployeeID, Role HAVING AssignmentCount > 2 ",Identify the Employee IDs and their roles for employees who have been assigned to more than two projects.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT ProjectName, COUNT(EmployeeID) AS EmployeesOnProject FROM project_assignments_1005 GROUP BY ProjectName ORDER BY EmployeesOnProject DESC ","List the names of projects along with the number of employees assigned to each project, and arrange the results in order from the project with the most employees to the project with the least."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT DISTINCT Role FROM project_assignments_1005 ,"""List all the unique roles that employees have in their project assignments."""
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, (julianday(MAX(EndDate)) - julianday(MIN(StartDate))) AS TotalDuration FROM project_assignments_1005 GROUP BY EmployeeID HAVING TotalDuration > 10 ","Find the IDs of employees who have worked on projects for more than 10 days in total, along with the total duration of their projects."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT Role, COUNT(DISTINCT EmployeeID) AS EmployeeCount FROM project_assignments_1005 GROUP BY Role ",Count the number of distinct employees for each role in the project assignments.
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
"," SELECT EmployeeID, ProjectName FROM project_assignments_1005 WHERE julianday(EndDate) < julianday('2023-01-01') ","Find the Employee IDs and project names for all projects that ended before January 1, 2023."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
", SELECT ProjectName FROM project_assignments_1005 WHERE EndDate IS NOT NULL ORDER BY EndDate DESC;,"List the names of the projects that have been completed, and arrange them in order from the most recent completion date to the earliest."
"CREATE TABLE project_assignments_1005 (
  ""AssignmentID"" INTEGER PRIMARY KEY,
  ""EmployeeID"" INTEGER,
  ""ProjectName"" TEXT,
  ""StartDate"" TIMESTAMP,
  ""EndDate"" TIMESTAMP,
  ""Role"" TEXT,
  FOREIGN KEY (""EmployeeID"") REFERENCES employee_1001(""EmployeeID"")
)
","SELECT ea.EmployeeID, ea.ProjectName, ea.Role FROM project_assignments_1005 ea WHERE ea.StartDate < (SELECT MAX(EndDate) FROM project_assignments_1005 WHERE EmployeeID = ea.EmployeeID) ","List the Employee IDs, Project names, and Roles of employees who started their projects before they completed their most recent project."
